model,attribute,delta_dp,delta_eo,group_auc_gap,leakage_auc
GraphSAGE+Reweighted@gender,gender_x_age,0.0673,0.0337,0.012,0.859
GraphSAGE+Reweighted@gender,gender_x_region,0.0612,0.0151,0.0078,0.7403
GraphSAGE+Reweighted@age_group,gender,0.0365,0.0153,0.0046,0.8231
GraphSAGE+Reweighted@age_group,region,0.0326,0.0012,0.0031,0.6482
GraphSAGE+Reweighted@age_group,age_group,0.0415,0.0235,0.0063,0.8914
GraphSAGE+Reweighted@age_group,gender_x_age,0.0634,0.0369,0.012,0.8532
GraphSAGE+Reweighted@age_group,gender_x_region,0.0625,0.0164,0.0077,0.7401
GraphSAGE+Reweighted@region,gender,0.0327,0.0125,0.0044,0.8238
GraphSAGE+Reweighted@region,region,0.0333,0.0034,0.0034,0.6366
GraphSAGE+Reweighted@region,age_group,0.0385,0.0268,0.0067,0.8991
GraphSAGE+Reweighted@region,gender_x_age,0.0645,0.0355,0.0119,0.8596
GraphSAGE+Reweighted@region,gender_x_region,0.0593,0.0173,0.0079,0.7373
