dataset,seed,axis,n_train,n_test,embed_dim,acc_baseline,acc_after_inlp,acc_drop,f1_baseline,f1_after_inlp,f1_drop,leakage_pre,leakage_post,leakage_drop
pokec-n,21,region,10000,27119,512,0.9463475791880231,0.9457207124156496,0.0006268667723735577,0.9463173059625795,0.9456982958377149,0.0006190101248645385,0.5633406334715687,0.5253548681283506,0.03798576534321807
pokec-n,21,age_group,10000,27119,512,0.9463475791880231,0.9328146318079575,0.013532947380065607,0.9463173059625795,0.9327905816726103,0.01352672428996915,0.9964710850003865,0.7862731069525086,0.21019797804787788
pokec-n,21,gender_x_age,10000,27119,512,0.9463475791880231,0.9212360337770567,0.025111545410966496,0.9463173059625795,0.9212108336552299,0.025106472307349526,0.945121695203464,0.7038886235016983,0.24123307170176567
pokec-n,21,gender_x_region,10000,27119,512,0.9463475791880231,0.9276890740809027,0.018658505107120416,0.9463173059625795,0.9276882418626566,0.01862906409992282,0.7139192326661745,0.5891409248494517,0.12477830781672283
pokec-n,42,gender,10000,27119,512,0.9456469633836055,0.9440244846786386,0.001622478704966901,0.9456093661546213,0.9439941635988147,0.0016152025558066052,0.789069533035874,0.6403250982134314,0.1487444348224426
pokec-n,42,region,10000,27119,512,0.9456469633836055,0.8196836166525314,0.12596334673107412,0.9456093661546213,0.8183205265831286,0.12728883957149273,0.5650686033523604,0.5164251403285222,0.04864346302383826
pokec-n,42,age_group,10000,27119,512,0.9456469633836055,0.930380913750507,0.015266049633098522,0.9456093661546213,0.9303794815621669,0.015229884592454446,0.998000603131661,0.8109582934570166,0.1870423096746443
pokec-n,42,gender_x_age,10000,27119,512,0.9456469633836055,0.8095799992625097,0.13606696412109587,0.9456093661546213,0.8077955885219147,0.13781377763270664,0.9411304311534412,0.6916449727746395,0.24948545837880165
pokec-n,42,gender_x_region,10000,27119,512,0.9456469633836055,0.6475902503779638,0.29805671300564174,0.9456093661546213,0.6183364808066346,0.3272728853479867,0.6919499051289341,0.5816090415312885,0.11034086359764561
pokec-n,99,gender,10000,27119,512,0.9463844537040451,0.9465688262841551,-0.00018437258010994828,0.9463531583826235,0.9465309271134696,-0.00017776873084618394,0.7983335152735217,0.6602725007809793,0.13806101449254238
pokec-n,99,region,10000,27119,512,0.9463844537040451,0.9419595117814079,0.004424941922637204,0.9463531583826235,0.9419475671628581,0.004405591219765359,0.5720734415395657,0.5293894688087447,0.04268397273082103
pokec-n,99,age_group,10000,27119,512,0.9463844537040451,0.9410376488808584,0.005346804823186724,0.9463531583826235,0.9410280493424876,0.005325109040135834,0.997114582785497,0.8126213658653292,0.18449321692016785
pokec-n,99,gender_x_age,10000,27119,512,0.9463844537040451,0.8082156421696965,0.13816881153434857,0.9463531583826235,0.8029038495503906,0.14344930883223284,0.9403408169182531,0.6748392506626635,0.2655015662555896
pokec-n,99,gender_x_region,10000,27119,512,0.9463844537040451,0.8897451970942881,0.056639256609756994,0.9463531583826235,0.8895564830983949,0.056796675284228604,0.6977714284054947,0.5964843744698164,0.10128705393567827
