model,attribute,delta_dp_mean,delta_dp_std,delta_eo_mean,delta_eo_std,group_auc_gap_mean,group_auc_gap_std,leakage_auc_mean,leakage_auc_std
GraphSAGE+INLP+DPT_composite,gender_x_region,0.0261,0.011927279656317279,0.05018,0.013123718985104792,0.0387,0.017873583859987344,0.49774,0.0017868967513541604
GraphSAGE+INLP+DPT_composite,region,0.007000000000000001,0.0051903757089443925,0.03184,0.004957620396924315,0.01694,0.011557811211470793,0.49858,0.0034715990551905268
GraphSAGE+INLP@age_group,age_group,0.02544,0.020083774545637582,0.031120000000000002,0.008899269632953032,0.00832,0.0008757853618324527,0.5233399999999999,0.006224789153055681
GraphSAGE+INLP@age_group,gender,0.0378,0.0062765436348359745,0.01976,0.010060218685495857,0.00448,0.000978263768111648,0.79564,0.011822351711905725
GraphSAGE+INLP@age_group,gender_x_age,0.0632,0.02006663898115477,0.0508,0.015272033263452512,0.015160000000000002,0.0018420097719610508,0.66108,0.0051562583333266245
GraphSAGE+INLP@age_group,gender_x_region,0.07618,0.01263673217251992,0.025259999999999998,0.010867060320068164,0.007200000000000001,0.0019013153341831547,0.71566,0.008911116652810712
GraphSAGE+INLP@age_group,region,0.0428,0.009422048609511626,0.0047799999999999995,0.0028472794032198528,0.00206,0.0012934450123604018,0.62718,0.005700614002017652
GraphSAGE+INLP@gender,age_group,0.03316,0.02217685730666092,0.03766,0.007991432912813571,0.008199999999999999,0.0017204650534085248,0.8925599999999999,0.005510716831774256
GraphSAGE+INLP@gender,gender,0.033940000000000005,0.006900579685794518,0.0168,0.008350449089719667,0.004280000000000001,0.0009523654760647302,0.56052,0.009498262999096192
GraphSAGE+INLP@gender,gender_x_age,0.05682,0.02020128708770805,0.0602,0.012963024338479043,0.01444,0.0023158151912447598,0.79926,0.005861996247013489
GraphSAGE+INLP@gender,gender_x_region,0.06982,0.012145451823625173,0.022760000000000002,0.013508811938879008,0.006839999999999999,0.0019919839356781974,0.5974,0.004436214602563784
GraphSAGE+INLP@gender,region,0.03996,0.007577136662354717,0.004059999999999999,0.003295147948120084,0.00202,0.0012153188881935473,0.64368,0.005659681969863673
GraphSAGE+INLP@region,age_group,0.03002,0.02012826371051413,0.03606,0.009956053434971109,0.00792,0.0017093858546273274,0.87378,0.005922583895564462
GraphSAGE+INLP@region,gender,0.03424000000000001,0.00424593923649409,0.0177,0.006055163086160437,0.00436,0.0010358571330062849,0.8160399999999999,0.0073295975332892905
GraphSAGE+INLP@region,gender_x_age,0.05702,0.019221654455327194,0.057719999999999994,0.013940301287992308,0.01456,0.002290851370124217,0.8397,0.005024440267333211
GraphSAGE+INLP@region,gender_x_region,0.07072,0.011699017052727122,0.02408,0.011440585649345055,0.00686,0.002003247363657319,0.71304,0.00573829242893735
GraphSAGE+INLP@region,region,0.040639999999999996,0.008389457670195374,0.003940000000000001,0.0033238531856867566,0.00196,0.001242175510948433,0.52186,0.0027446311227558645
GraphSAGE+Resampling,age_group,0.033479999999999996,0.01644952886863329,0.0393,0.008912631485706118,0.007880000000000002,0.0012930583900195695,0.8952199999999999,0.005525124432987924
GraphSAGE+Resampling,gender,0.03736,0.004352355683994585,0.017980000000000003,0.00546552833676672,0.0038599999999999997,0.0005594640292279743,0.8214600000000001,0.006066547617879571
GraphSAGE+Resampling,gender_x_age,0.06106,0.015235091072914531,0.05898,0.015358938765422566,0.01334,0.001244186481199663,0.8549199999999999,0.004762037379105762
GraphSAGE+Resampling,gender_x_region,0.07476000000000001,0.012584832140318757,0.02666,0.010453850965075022,0.00648,0.0016902662512160622,0.7368399999999999,0.006095326078234012
GraphSAGE+Resampling,region,0.04116,0.010705746120658758,0.0054800000000000005,0.005869582608669888,0.00212,0.0014584238067173751,0.64496,0.005838921133223197
GraphSAGE+Reweighted@age_group,age_group,0.03332,0.017366116434021743,0.035160000000000004,0.009137176806869835,0.00804,0.0014536161804272814,0.88988,0.0047688573054768596
GraphSAGE+Reweighted@age_group,gender,0.03796,0.004557740668357513,0.018719999999999997,0.004462286409454239,0.00392,0.0006300793600809345,0.82272,0.003641016341627703
GraphSAGE+Reweighted@age_group,gender_x_age,0.06405999999999999,0.018782385365016873,0.05396000000000001,0.014903120478611183,0.01358,0.001251798705862888,0.8515,0.003915992849840234
GraphSAGE+Reweighted@age_group,gender_x_region,0.07378,0.011466996119298202,0.025619999999999997,0.009460285407956782,0.00648,0.0015352524222420237,0.7382,0.004334166586553871
GraphSAGE+Reweighted@age_group,region,0.03942,0.0095844665996601,0.0049,0.005308483775994799,0.00208,0.0013349157276772194,0.64584,0.00446575861416624
GraphSAGE+Reweighted@gender,age_group,0.03234,0.014339560662726038,0.037939999999999995,0.010129560701234778,0.0077800000000000005,0.0012969194269498777,0.89542,0.004383719881561799
GraphSAGE+Reweighted@gender,gender,0.03402,0.0038414840882138243,0.0161,0.005017469481720841,0.0039,0.00062449979983984,0.8202,0.0061269894728161415
GraphSAGE+Reweighted@gender,gender_x_age,0.05968,0.014985392887742385,0.055220000000000005,0.01756152043531539,0.01338,0.0011410521460476733,0.85456,0.005343500725180107
GraphSAGE+Reweighted@gender,gender_x_region,0.07168,0.01254420184786581,0.02376,0.009098516362572525,0.00648,0.0016513630733427465,0.73626,0.0059735249225226815
GraphSAGE+Reweighted@gender,region,0.041139999999999996,0.010955500901373703,0.0057799999999999995,0.005330290798821392,0.00204,0.0014028542333400144,0.64506,0.004667226156937312
