dataset,seed,axis,n_train,n_test,embed_dim,composite_n_cells,acc_baseline,f1_baseline,acc_after_ultimate,f1_after_ultimate,delta_dp,delta_eo,leakage_pre,leakage_post
pokec-z,99,gender_x_region,10000,13314,512,12,0.948400180261379,0.9482398502457494,0.8401682439537329,0.8399296716806479,0.04618001046572473,0.09460592456160544,0.7067566001502901,0.5452501300792902
pokec-n,3,gender,10000,13560,512,12,0.9473451327433628,0.9473146814718812,0.6497050147492626,0.5977824417779313,0.0047114302802374886,0.022208326145707558,0.8126843118701147,0.5457447318415611
pokec-n,3,region,10000,13560,512,12,0.9473451327433628,0.9473146814718812,0.6497050147492626,0.5977824417779313,0.00008763479528248186,0.01913307928600355,0.5750669777645815,0.5280296503652888
pokec-n,3,age_group,10000,13560,512,12,0.9473451327433628,0.9473146814718812,0.6497050147492626,0.5977824417779313,0.015528547112396901,0.03965419105407292,0.9977490808969997,0.6988308853300577
pokec-n,3,gender_x_age,10000,13560,512,12,0.9473451327433628,0.9473146814718812,0.6497050147492626,0.5977824417779313,0.047030119468282006,0.0717787114845938,0.9426915958907095,0.6517547006461827
pokec-n,3,gender_x_region,10000,13560,512,12,0.9473451327433628,0.9473146814718812,0.6497050147492626,0.5977824417779313,0.029729111403785397,0.06485522202608263,0.7050148563032208,0.5347061410502073
pokec-n,7,gender,10000,13560,512,12,0.9462389380530973,0.9462177727757319,0.91452802359882,0.914130168771107,0.0011447975351900341,0.01815252860675054,0.8122554234611892,0.5575416162090469
pokec-n,7,region,10000,13560,512,12,0.9462389380530973,0.9462177727757319,0.91452802359882,0.914130168771107,0.006217532467532483,0.03919588244648453,0.5707584511077157,0.5196009477654697
pokec-n,7,age_group,10000,13560,512,12,0.9462389380530973,0.9462177727757319,0.91452802359882,0.914130168771107,0.06546425089529617,0.007176452828401514,0.9949135858174714,0.6594807356410533
pokec-n,7,gender_x_age,10000,13560,512,12,0.9462389380530973,0.9462177727757319,0.91452802359882,0.914130168771107,0.07336461166064007,0.023894452777860176,0.9413540863672795,0.6235679123194143
